disp.name.flag,disp.name.sk
CONTINUE,"Pokračovať"
CANCEL,"Zrušiť"
ADJUST_TITLE,"Kalibrácia"
ADJUST_INFO,"Dotknite sa postupne všetkých bodov"
ADJUST_OK,"Kalibrácia úspešná"
ADJUST_FAILED,"Kalibrácia zlyhala, opakovať"
WARNING,"Varovanie"
STOP_PRINT,"Zastaviť tlač?"
CONFIRM,"Potvrdiť"
TFTSD,"TFT SD"
READ_TFTSD_ERROR,"Chyba pri načítaní SD karty!"
TFTSD_INSERTED,"SD karta vložená!"
TFTSD_REMOVED,"SD karta odstránená!"
U_DISK,"USB kľúč"
READ_U_DISK_ERROR,"Chyba pri načítaní USB kľúča!"
U_DISK_INSERTED,"USB kľúč vložený!"
U_DISK_REMOVED,"USB disk odstránený!"
ONBOARDSD,"SD karta na doske"
READ_ONBOARDSD_ERROR,"Chyba pri načítaní SD karty na doske!"
FILAMENT_SENSOR,"Filament senzor"
FILAMENT_RUNOUT,"Chýba filament!"
PREHEAT,"Nahriať"
PREHEAT_BOTH,"Tryska/Podložka"
IS_PAUSE,"Nemožno extrudovať\npočas tlače,\npozastaviť tlač?"
AUTO_SHUT_DOWN,"Auto vyp."
UNIFIEDMOVE,"Pohyb"
UNIFIEDHEAT,"Nahriať"
COOLDOWN,"Ochladiť"
EMERGENCYSTOP,"STOP"
TOUCH_TO_EXIT,"Dotknite sa obrazovky pre ukončenie"
MAINMENU,"Menu"
WAIT_TEMP_SHUT_DOWN,"Počkať na teplotu\ntrysky menej ako %d℃"
FORCE_SHUT_DOWN,"Vynútené vypnutie"
SHUTTING_DOWN,"Vypínanie..."
PARAMETER_SETTING,"Parametre"
ON,"ZAP"
OFF,"VYP"
SMART,"SMART"
TERMINAL_ACK,"Show ACK in Terminal"
INVERT_XAXIS,"Invertovať os X"
INVERT_YAXIS,"Invertovať os Y"
INVERT_ZAXIS,"Invertovať os Z"
MOVE_SPEED,"Rýchlosť pohybu XYZ"
KNOB_LED,"LED otočného tlačidla"
M0_PAUSE,"Pauza príkazom M0"
SEND_START_GCODE,"Začiatočný Gcode"
SEND_END_GCODE,"Koncový Gcode"
SEND_CANCEL_GCODE,"Cancel Gcode"
PERSISTENT_STATUS_INFO,"Trvalé info o stave"
